C1332884 C0132107
C1289607 C0228325
C2348732 C0021084
C2080630 C0996641
C2674462 C0175778
C0699923 C0447557
C0751491 C0272256
C1011157 C0060304
C1569647 C0016037
C0908996 C0060501
C0593515 C0445891
C0123905 C0041215
C1556041 C0002219
C1452084 C1415222
C0908077 C0103889
C1416459 C0047895
C1280364 C0702149
C0379628 C0152068
C0149848 C0059455
C1050790 C0074683
C0455635 C0059644
C2000114 C1334647
C1511758 C0072177
C0346396 C0070351
C0113223 C0031562
C0558672 C0319928
C1665319 C0101753
C1417219 C0576106
C0225270 C0075024
C1413564 C0031024
C0454767 C0060875
C0475330 C0060183
C0699033 C0064301
C1485970 C0445843
C1708243 C0086150
C0993645 C0220936
C0546788 C0029463
C1006429 C0028407
C0682546 C0042926
C0996860 C0226088
C1280760 C0524630
C0046887 C0025732
C0320424 C0025228
C1036083 C0640222
C1261306 C1156710
C0761779 C0442411
C1550618 C1156202
C0233401 C0079812
C0057518 C0038302
C0766323 C0056795
C0998878 C0034119
C1513354 C0332923
C1045350 C0359589
C0263591 C0076068
C1086641 C0449652
C1963098 C0153232
C1420527 C0066965
C0271356 C0078712
C1417492 C0699606
C1425978 C0458328
C0878544 C0068057
C2703172 C0660239
C1512475 C1035869
C1853242 C0228703
C0327127 C0082965
C0073845 C0016216
C0323942 C0030038
C0005962 C0002957
C1555897 C1183716
C0175476 C0028434
C0391197 C0328631
C0294863 C0038899
C2642881 C0587279
C1706326 C0315020
C0451125 C0063223
C1148580 C0421451
C1824666 C1267115
C2353628 C0591237
C0451260 C0116355
C2260489 C2001972
C0555191 C0224720
C1325859 C0524982
C1709772 C0073192
C1519579 C0317598
C1198567 C0425492
C1826449 C1421485
C1514594 C1289879
C1134436 C0600240
C2700137 C1658938
C1153489 C0393983
C0442122 C0360332
C0308737 C0015606
C1335976 C0225273
C1420812 C1420120
C0663932 C0562700
C0677930 C0022596
C2349195 C1956128
C1553367 C0007608
C1872190 C1422062
C1225415 C0241394
C0917593 C0128664
C0699242 C0192755
C0635706 C0001703
C1150277 C0161815
C1521735 C0381194
C0042527 C0024852
C1037275 C0034316
C1457897 C1425439
C0905865 C0221910
C1761572 C0334378
C0599860 C0206281
C0263393 C0068949
C0330164 C0192498
C1432814 C0225227
C1216201 C0444660
C1822691 C0727860
C0453118 C0301344
C2604466 C0038122
C0086790 C0028206
C1156558 C0089958
C2718037 C1417896
C1802535 C0560637
C1454530 C0317530
C0995593 C0063829
C0949810 C0085160
C1299041 C0238399
C2353146 C0687055
C1009848 C0027778
C0264614 C0068680
C1515433 C0052807
C0057792 C0020616
C1707081 C1197421
C1420496 C1166950
C1016562 C0066234
C0431085 C0016540
C0193769 C0065464
C0155080 C0019553
C0994475 C0681102
C1414563 C0069292
C1054290 C1012970
C0586139 C0150105
C0260133 C0031173
C0598834 C0026691
C0596389 C0065481
C1627769 C0036311
C1707396 C0301470
C1519904 C0878195
C0884217 C0522527
C1456379 C1280105
C0321355 C0223932
C1157045 C0050917
C0537338 C0014144
C0075510 C0059306
C0327838 C0069275
C0999374 C0003490
C0877576 C0392714
C0672358 C0050876
C1880765 C0869256
C0995676 C0242114
C0085233 C0001752
C1702774 C0036039
C1533168 C0450662
C0021599 C0011001
C0694546 C0077215
C1555958 C0333679
C1012081 C0034390
C2362607 C0228147
C1539203 C1007819
C1705122 C0951202
C1420851 C0325215
C1499593 C0053931
C0439708 C0242342
C1688091 C0016542
C1016501 C0939478
C1418298 C0169338
C1009627 C0222611
C1554197 C0349477
C0314874 C0227935
C1299107 C0455308
C0747733 C0076897
C0207975 C0017535
C0403083 C0014850
C0729116 C0599391
C1833913 C0179966
C0017861 C0004203
C0449328 C0014809
C0751214 C0701422
C2246411 C1705940
C1332682 C0549173
C1446873 C0078182
C1299239 C0996750
C1138141 C0178587
C0562561 C0189635
C1291704 C0300934
C1218832 C0325127
C1323340 C1080909
C1854684 C0205267
C0162373 C0075421
C2350469 C1420285
C1710604 C1417808
C1424247 C0051554
C2700440 C0036725
C2001893 C0268054
C0911447 C0574895
C1417400 C0010998
C0054630 C0025018
C2322832 C0814502
C0893636 C0457162
